DateTime,Date,Time,Year,Month,Day,Hour,Open,High,Low,Close,Volume,Price_Change,Price_Change_Percent
2024-07-16 12:00:00-04:00,2024-07-16,12:00:00,2024,7,16,12,2468.199951171875,2468.39990234375,2462.699951171875,2463.89990234375,13193,-4.2001953125,-0.17017929363920548
2024-07-16 13:00:00-04:00,2024-07-16,13:00:00,2024,7,16,13,2463.89990234375,2471.60009765625,2463.39990234375,2469.5,11102,5.60009765625,0.22728592386902502
2024-07-16 14:00:00-04:00,2024-07-16,14:00:00,2024,7,16,14,2469.5,2471.39990234375,2467.300048828125,2470.300048828125,5132,0.800048828125,0.03239719895222759
2024-07-16 15:00:00-04:00,2024-07-16,15:00:00,2024,7,16,15,2470.300048828125,2473.60009765625,2468.0,2473.5,6488,3.199951171875,0.1295369432305682
2024-07-16 16:00:00-04:00,2024-07-16,16:00:00,2024,7,16,16,2473.39990234375,2474.5,2471.699951171875,2473.60009765625,4020,0.10009765625,0.0040468023549733445
2024-07-16 18:00:00-04:00,2024-07-16,18:00:00,2024,7,16,18,2473.199951171875,2474.800048828125,2470.800048828125,2473.699951171875,0,0.099853515625,0.004036768745274699
2024-07-16 19:00:00-04:00,2024-07-16,19:00:00,2024,7,16,19,2473.699951171875,2474.5,2472.199951171875,2473.0,1192,-0.699951171875,-0.02829571838506295
2024-07-16 20:00:00-04:00,2024-07-16,20:00:00,2024,7,16,20,2467.800048828125,2478.0,2467.800048828125,2473.39990234375,6233,0.39990234375,0.016170737717358108
2024-07-16 21:00:00-04:00,2024-07-16,21:00:00,2024,7,16,21,2473.300048828125,2486.199951171875,2473.199951171875,2484.60009765625,12270,11.2001953125,0.452825897740472
2024-07-16 22:00:00-04:00,2024-07-16,22:00:00,2024,7,16,22,2484.300048828125,2487.39990234375,2474.60009765625,2479.699951171875,8822,-4.900146484375,-0.19722073137634633
2024-07-16 23:00:00-04:00,2024-07-16,23:00:00,2024,7,16,23,2479.60009765625,2479.699951171875,2469.0,2476.60009765625,8914,-3.099853515625,-0.12500921791606112
2024-07-17 00:00:00-04:00,2024-07-17,00:00:00,2024,7,17,0,2476.699951171875,2477.60009765625,2472.39990234375,2472.60009765625,3741,-4.0,-0.1615117436111424
2024-07-17 01:00:00-04:00,2024-07-17,01:00:00,2024,7,17,1,2472.5,2475.60009765625,2470.199951171875,2470.199951171875,4512,-2.400146484375,-0.09706973993287571
2024-07-17 02:00:00-04:00,2024-07-17,02:00:00,2024,7,17,2,2470.199951171875,2472.60009765625,2466.60009765625,2471.39990234375,7387,1.199951171875,0.04857708669721017
2024-07-17 03:00:00-04:00,2024-07-17,03:00:00,2024,7,17,3,2471.39990234375,2479.199951171875,2468.89990234375,2479.10009765625,10355,7.7001953125,0.3115722107619012
2024-07-17 04:00:00-04:00,2024-07-17,04:00:00,2024,7,17,4,2479.10009765625,2483.39990234375,2476.199951171875,2479.60009765625,10478,0.5,0.02016860878157889
2024-07-17 05:00:00-04:00,2024-07-17,05:00:00,2024,7,17,5,2479.60009765625,2480.0,2474.300048828125,2479.5,6751,-0.10009765625,-0.004036846761890089
2024-07-17 06:00:00-04:00,2024-07-17,06:00:00,2024,7,17,6,2479.699951171875,2480.89990234375,2470.800048828125,2472.300048828125,5906,-7.199951171875,-0.2903791559538238
2024-07-17 07:00:00-04:00,2024-07-17,07:00:00,2024,7,17,7,2472.199951171875,2478.0,2471.800048828125,2474.60009765625,6257,2.300048828125,0.09303275422476442
2024-07-17 08:00:00-04:00,2024-07-17,08:00:00,2024,7,17,8,2474.60009765625,2480.10009765625,2473.199951171875,2478.199951171875,13641,3.599853515625,0.145472131801605
2024-07-17 09:00:00-04:00,2024-07-17,09:00:00,2024,7,17,9,2478.199951171875,2488.199951171875,2475.800048828125,2487.699951171875,36625,9.5,0.3833427563223024
2024-07-17 10:00:00-04:00,2024-07-17,10:00:00,2024,7,17,10,2487.60009765625,2488.39990234375,2465.39990234375,2468.0,44535,-19.699951171875,-0.7918941817157243
2024-07-17 11:00:00-04:00,2024-07-17,11:00:00,2024,7,17,11,2468.0,2470.699951171875,2462.10009765625,2468.0,19439,0.0,0.0
2024-07-17 12:00:00-04:00,2024-07-17,12:00:00,2024,7,17,12,2468.10009765625,2469.699951171875,2457.10009765625,2459.89990234375,19040,-8.10009765625,-0.3282049293456213
2024-07-17 13:00:00-04:00,2024-07-17,13:00:00,2024,7,17,13,2459.800048828125,2463.699951171875,2456.0,2456.699951171875,11774,-3.199951171875,-0.13008460908616737
2024-07-17 14:00:00-04:00,2024-07-17,14:00:00,2024,7,17,14,2456.60009765625,2462.39990234375,2455.5,2462.10009765625,4051,5.400146484375,0.2198130252658359
2024-07-17 15:00:00-04:00,2024-07-17,15:00:00,2024,7,17,15,2462.199951171875,2464.699951171875,2461.199951171875,2462.300048828125,5299,0.199951171875,0.008121163394836373
2024-07-17 16:00:00-04:00,2024-07-17,16:00:00,2024,7,17,16,2462.39990234375,2463.699951171875,2461.39990234375,2463.10009765625,1243,0.800048828125,0.032491930806965996
2024-07-17 18:00:00-04:00,2024-07-17,18:00:00,2024,7,17,18,2462.5,2463.10009765625,2461.39990234375,2462.60009765625,0,-0.5,-0.020299621622188457
2024-07-17 19:00:00-04:00,2024-07-17,19:00:00,2024,7,17,19,2462.5,2465.5,2462.5,2465.0,2312,2.39990234375,0.09745400181029318
2024-07-17 20:00:00-04:00,2024-07-17,20:00:00,2024,7,17,20,2465.0,2465.199951171875,2461.10009765625,2462.39990234375,2847,-2.60009765625,-0.10548063514198569
2024-07-17 21:00:00-04:00,2024-07-17,21:00:00,2024,7,17,21,2462.300048828125,2467.89990234375,2461.199951171875,2466.0,5361,3.60009765625,0.14620280210471126
2024-07-17 22:00:00-04:00,2024-07-17,22:00:00,2024,7,17,22,2465.800048828125,2469.39990234375,2463.60009765625,2469.10009765625,3162,3.10009765625,0.12571361136455295
2024-07-17 23:00:00-04:00,2024-07-17,23:00:00,2024,7,17,23,2469.0,2472.39990234375,2468.699951171875,2471.699951171875,4120,2.599853515625,0.10529559000433952
2024-07-18 00:00:00-04:00,2024-07-18,00:00:00,2024,7,18,0,2471.699951171875,2472.0,2468.199951171875,2468.800048828125,4050,-2.89990234375,-0.11732420605401472
2024-07-18 01:00:00-04:00,2024-07-18,01:00:00,2024,7,18,1,2468.800048828125,2473.39990234375,2468.5,2470.39990234375,5190,1.599853515625,0.06480287929289119
2024-07-18 02:00:00-04:00,2024-07-18,02:00:00,2024,7,18,2,2470.300048828125,2475.39990234375,2467.800048828125,2474.89990234375,7715,4.5,0.18215674295205542
2024-07-18 03:00:00-04:00,2024-07-18,03:00:00,2024,7,18,3,2475.0,2478.5,2474.199951171875,2475.300048828125,6185,0.400146484375,0.01616818862031355
