Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
29-04-2024,216.1799927,217.2200012,215.25,216.0200043,6409900,216.1799927,-0.203121804,216.6919991,204.7653998,188.1273998,1.111522146,2024,4,0,2
30-04-2024,211.8699951,214.1300049,211.8000031,213.3800049,11248600,211.8699951,-1.993707884,216.7409988,205.2759998,188.2795998,1.171491445,2024,4,1,2
01-05-2024,213.7899933,215.5,212.4100037,212.9600067,10373900,213.7899933,0.906215233,216.7934982,205.8023996,188.4407498,1.172612203,2024,5,2,2
02-05-2024,213.1300049,213.7100067,211.4900055,211.8999939,6287000,213.1300049,-0.308708744,216.8739983,206.3153998,188.5881998,1.166907592,2024,5,3,2
03-05-2024,212.9600067,213.2299957,210.7100067,212.8899994,8679900,212.9600067,-0.079762664,216.7649986,206.8234,188.7346499,1.098991149,2024,5,4,2
06-05-2024,215.1999969,215.9100037,214.4700012,215.1399994,6840500,215.1999969,1.051836102,216.7009987,207.355,188.8969498,1.116757747,2024,5,0,2
07-05-2024,214.2100067,214.9299927,213.8800049,214.5200043,5660700,214.2100067,-0.460032643,216.5279991,207.8752002,189.0570999,1.112285696,2024,5,1,2
08-05-2024,213.5800018,214.8000031,213.5,213.6199951,4462700,213.5800018,-0.294106187,216.4264992,208.3868002,189.218,1.094790991,2024,5,2,2
09-05-2024,216.9499969,216.9499969,214.4400024,214.4799957,7732500,216.9499969,1.577860796,216.2839989,208.9590002,189.3906999,1.06249069,2024,5,3,2
10-05-2024,218.7100067,219.6000061,218.0800018,219.2200012,8700900,218.7100067,0.811251344,216.3749992,209.5470004,189.5677499,1.03572545,2024,5,4,2
13-05-2024,216.2599945,217.3099976,215.8000031,217.0599976,4896300,216.2599945,-1.120210384,216.1404991,210.0144003,189.7469499,0.972400174,2024,5,0,2
14-05-2024,218.0899963,218.3800049,216.9799957,217.3099976,4662700,218.0899963,0.846204512,215.9839989,210.4560004,189.9280999,0.994440061,2024,5,1,2
15-05-2024,220.8899994,221.1900024,217.6499939,219.0599976,9297700,220.8899994,1.283875051,216.048999,210.9300003,190.1207999,1.024934494,2024,5,2,2
16-05-2024,220.0299988,220.5899963,219.4100037,220.1399994,4301700,220.0299988,-0.389334335,216.0334991,211.3544003,190.3186498,1.026440568,2024,5,3,2
17-05-2024,223.6600037,223.8500061,221.6699982,222.1799927,10481900,223.6600037,1.649777259,216.1649994,211.8288004,190.5389498,1.089610406,2024,5,4,2
20-05-2024,224.5599976,225.6600037,223.0200043,223.7899933,5990900,224.5599976,0.402393759,216.6144989,212.2874002,190.7640498,0.912847725,2024,5,0,2
21-05-2024,224.2299957,225.2100067,223.6999969,224.7700043,4002600,224.2299957,-0.14695486,217.073999,212.7320001,190.9842498,0.91052176,2024,5,1,2
22-05-2024,220.1100006,223.2400055,219.7400055,223.0899963,8903100,220.1100006,-1.837396957,217.3474991,213.1384003,191.1858998,1.017267622,2024,5,2,2
23-05-2024,215.7200012,219.2299957,215.6600037,218.7799988,9537900,215.7200012,-1.994457034,217.3374992,213.4290002,191.3712998,1.11512013,2024,5,3,2
24-05-2024,215.9199982,217.2100067,215.7400055,216.9600067,4212400,215.9199982,0.092711361,217.3024994,213.7404001,191.5619498,1.112791133,2024,5,4,2
28-05-2024,218.1900024,218.5899963,217.2100067,218.4299927,3809700,218.1900024,1.05131729,217.4029999,214.11,191.7648998,1.136451229,2024,5,1,2
29-05-2024,216.1600037,217.1600037,216.1199951,216.9199982,4185000,216.1600037,-0.930381207,217.6175003,214.4326001,191.9576998,1.05784271,2024,5,2,2
